,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,October,Year to Date (to October),Year to Date (to October),Year to Date (to October),Year to Date (to October),2020 Financial Year,2020 Financial Year,2020 Financial Year,2020 Financial Year,Whole of Life,Whole of Life,Whole of Life,Whole of Life
PROJ-BI,OPERATING RESULT,3306,Brent Henderson,R-13720,PFOD-OzCrop,"33,048","132,784","134,137","-1,353",,"395,121","134,137","260,985",,"395,121","134,137","260,985",
PROJ-BI,OPERATING RESULT,3306,Brent Henderson,R-13859,Initiative: Environment and Biological A,,"5,377",,"5,377",,"16,000",,"16,000",,"16,000",,"16,000",
PROJ-BI,OPERATING RESULT,3306,Brent Henderson,R-90434,AgriEnv Informatic Group Operating Cost,"35,693","155,553","132,263","23,290",,"514,243","132,381","381,862",,"573,873","243,311","330,562",0.00
PROJ-BI,OPERATING RESULT,4203,Petra Kuhnert,R-09498,Uncertainty Digiscape In-kind Data61,"5,647","20,924","21,298",-374,,"62,261","21,298","40,964",,"314,679","273,715","40,964",
PROJ-BI,OPERATING RESULT,5858,Cecile Paris,R-91279,Group - Knowledge Discovery & Management,"29,050","136,755","114,073","22,682",,"406,934","114,073","292,862",,"406,934","114,073","292,862",
PROJ-BI,OPERATING RESULT,6203,Mahesh Prakash,R-10890,Dust monitoring data analysis,,,"-2,560","2,560",,,"-2,560","2,560",,"-29,065","-16,733","-12,332",
PROJ-BI,OPERATING RESULT,6203,Mahesh Prakash,R-11079,Bushfire Case Study Guide,"3,362","14,011","13,339",672,,"41,694","13,339","28,354",,"52,434","55,361","-2,927",
PROJ-BI,OPERATING RESULT,6203,Mahesh Prakash,R-11894,Spotfire Coalescence II: Extension,"7,611","17,337","34,059","-16,722",,"83,293","34,059","49,235",,"351,784","204,560","147,224",
PROJ-BI,OPERATING RESULT,6203,Mahesh Prakash,R-11916,Transferable Integrated tools for the cl,"21,458","37,317","41,380","-4,063",,"111,037","41,380","69,657",0.00,"350,845","143,037","207,809",0.00
PROJ-BI,OPERATING RESULT,6203,Mahesh Prakash,R-11948,Resource Deployment and Optimisation in,"11,571","58,287","10,429","47,857",,"159,701","10,429","149,271",0.00,"100,303","-1,468","101,771",0.00
PROJ-BI,OPERATING RESULT,6203,Mahesh Prakash,R-12875,Cropland fire behaviour research,497,"-6,895","8,428","-15,323",,"-96,895","8,428","-105,323",,"119,257","213,975","-94,719",
PROJ-BI,OPERATING RESULT,6203,Mahesh Prakash,R-13474,Effectiveness of fire suppression resour,"-5,442","-11,130","-19,755","8,625",,"44,080","-19,755","63,835",,"193,610","-93,829","287,439",
PROJ-BI,OPERATING RESULT,6203,Mahesh Prakash,R-13495,Modelling the  FOREMS wildfire suppressi,"12,123","29,850","48,102","-18,252",,"12,617","48,102","-35,484",,-972,"33,753","-34,725",
PROJ-BI,OPERATING RESULT,6203,Mahesh Prakash,R-13596,Pr19-10: INSW Gen 2.0 Phase 3,"17,834","407,530","68,582","338,947",,"539,857","68,582","471,274",,-143,"24,082","-24,226",
PROJ-BI,OPERATING RESULT,6203,Mahesh Prakash,R-13694,Bushfire Evacuation Modelling Phase 2,"-7,971","-80,529","-14,736","-65,794",,"4,935","-14,736","19,671",,"188,200","-12,618","200,818",
PROJ-BI,OPERATING RESULT,6203,Mahesh Prakash,R-13850,Initiative - Natural Hazards and Infrast,139,"12,434","-25,131","37,566",,"37,000","-25,131","62,131",,"37,000","-25,131","62,131",
PROJ-BI,OPERATING RESULT,6203,Mahesh Prakash,R-14234,Visualising the Impact of Mining Project,"8,785","12,955","8,785","4,169",,"270,910","8,785","262,124",,"270,910","8,785","262,124",
PROJ-BI,OPERATING RESULT,6203,Mahesh Prakash,R-91277,Group - Natural Systems Modelling,"34,905","114,173","111,742","2,431",,"339,740","112,074","227,666",,"339,740","112,074","227,666",
PROJ-BI,OPERATING RESULT,7702,Peter Toscas,R-91112,Data-Driven Enterprises Group - Operatin,"15,830","60,418","55,467","4,952",,"179,783","55,467","124,316",,"191,403","74,710","116,693",
PROJ-BI,OPERATING RESULT,8008,Gavin Walker,R-10441,Research Office Post doc Social Media (S,"28,819","126,784","114,349","12,434",,"377,264","114,349","262,914",,"1,152,386","853,635","298,751",
PROJ-BI,OPERATING RESULT,8008,Gavin Walker,R-11577,Digital Lease - SIEF STEM Project,"21,968","57,380","95,318","-37,938",,"37,086","95,318","-58,232",,"-4,398","194,803","-199,202",
PROJ-BI,OPERATING RESULT,8008,Gavin Walker,R-12271,PH FSP Medical Decision Support - DATA61,"13,814","56,492","56,254",238,,"168,099","56,254","111,845",,"267,090","155,733","111,357",
PROJ-BI,OPERATING RESULT,8008,Gavin Walker,R-12622,LASC Client-informed SocMedAnalysis Plat,,,,,,,,,,"286,590","266,590","20,000",
PROJ-BI,OPERATING RESULT,8008,Gavin Walker,R-12648,SLNSW: Multilingual NLP,109,"5,636","5,831",-196,,"5,636","5,831",-196,,"33,473","30,885","2,588",
PROJ-BI,OPERATING RESULT,8008,Gavin Walker,R-12793,Research Office Post doc Social Media (S,"26,184","117,034","114,803","2,231",,"348,249","114,803","233,446",,"988,894","361,620","627,275",
PROJ-BI,OPERATING RESULT,8008,Gavin Walker,R-12815,NDIS workforce needs,"-4,631","-14,071","-12,484","-1,586",,"1,370","-12,484","13,854",,"114,076","122,149","-8,073",
PROJ-BI,OPERATING RESULT,8008,Gavin Walker,R-12870,Pr19-3: Research Services Water Grant,"24,143","96,687","-149,207","245,895",,"216,173","-149,207","365,380",,"-12,405","-132,828","120,423",
PROJ-BI,OPERATING RESULT,8008,Gavin Walker,R-13814,Initiative: Social Insights and Market D,"9,464","40,441","33,339","7,102",,"120,337","33,339","86,998",,"120,337","33,339","86,998",
PROJ-BI,OPERATING RESULT,8008,Gavin Walker,R-13939,Emergency Management: Tech surprise pape,"-13,636",-231,-231,0,,-231,-231,0,,-231,-231,0,
PROJ-BI,OPERATING RESULT,8008,Gavin Walker,R-14215,QLD Big Data Challenge: Detecting Cyberb,"38,960","41,548","38,960","2,588",,"240,795","38,960","201,835",,"240,795","38,960","201,835",
PROJ-BI,OPERATING RESULT,8716,Zili Zhu,R-03815,Fenics,"106,548","190,639","143,012","47,628",,"503,132","143,012","360,120",,"-673,330","-1,334,535","661,205",
PROJ-BI,OPERATING RESULT,8716,Zili Zhu,R-09886,ARC Linkage with Monash and Challenger B,"1,587","6,297","-5,703","12,000",,"11,058","-5,703","16,761",,"175,389","208,628","-33,239",
PROJ-BI,OPERATING RESULT,8716,Zili Zhu,R-12324,Ruralco/Wex Water - options instruments,538,,538,-538,,,538,-538,,"-126,668","-23,118","-103,551",
PROJ-BI,OPERATING RESULT,8716,Zili Zhu,R-12579,Monash Master of Financial Maths Interns,"15,477","70,138","61,504","8,633",,"208,701","61,504","147,197",,"451,505","113,930","337,574",
PROJ-BI,OPERATING RESULT,8716,Zili Zhu,R-13848,Initiative: Risklab,289,"3,361","3,466",-105,,"10,000","3,466","6,534",,"10,000","3,466","6,534",
PROJ-BI,OPERATING RESULT,10873,Kimberley Clayfield,R-13229,SpaceFSP1 Bloom Prediction D61,,,,,,,,,,"4,399","4,399",0,
PROJ-BI,OPERATING RESULT,10873,Kimberley Clayfield,R-13297,SpaceFSP1 HSI Data Analytics D61,21,,21,-21,,,21,-21,,"5,429","5,450",-21,
PROJ-BI,OPERATING RESULT,10873,Kimberley Clayfield,R-13683,SpaceFSP2-08 OffEarth Resource Analytics,,,"56,390","-56,390",,,"56,390","-56,390",,,"56,390","-56,390",
PROJ-BI,OPERATING RESULT,10873,Kimberley Clayfield,R-13843,SpaceFSP2-07 HSI Data Analytics D61,"12,401","49,203","49,203",0,,"146,411","49,203","97,208",,"308,547","49,203","259,344",
PROJ-BI,OPERATING RESULT,12951,Lachlan Hetherton,R-10504,Apollo Campervans - DVASS,"-4,915","-4,611","-19,308","14,697",,"34,246","-19,308","53,554",,"-2,334","27,743","-30,077",
PROJ-BI,OPERATING RESULT,12951,Lachlan Hetherton,R-12754,Boeing: Workspace Live Metrology 2019 P1,,"24,151","-7,989","32,140",,"24,151","-7,989","32,140",,"108,850","15,490","93,359",
PROJ-BI,OPERATING RESULT,12951,Lachlan Hetherton,R-12782,Factory Flow Optimisation - Phase 5,"6,313","172,942","16,902","156,040",,"172,942","16,902","156,040",,"96,353","113,270","-16,918",
PROJ-BI,OPERATING RESULT,12951,Lachlan Hetherton,R-13576,Pr19-2 NSW SP: Forecasting school infras,,,,,,,,,,"4,413","4,413",0,
PROJ-BI,OPERATING RESULT,12951,Lachlan Hetherton,R-13761,Boeing: Workspace Live Metrology 2019 P2,"-39,030","-114,626","-85,881","-28,745",,"128,362","-85,824","214,187",,"128,362","-85,824","214,187",
PROJ-BI,OPERATING RESULT,12951,Lachlan Hetherton,R-13847,Initiative: Industrial Tfm,"2,163","6,049","9,953","-3,904",,"18,000","9,953","8,047",,"18,000","9,953","8,047",
PROJ-BI,OPERATING RESULT,15781,Simon Harrison,R-13851,Initiative: Digital Human,"2,211","2,689","2,302",387,,"8,000","2,302","5,699",,"8,000","2,302","5,699",
PROJ-BI,OPERATING RESULT,17118,Klara Verbyla,R-90435,Biological Data Science Group - Operatin,"25,700","117,836","103,761","14,075",,"350,641","103,761","246,880",,"410,641","217,987","192,654",0.00
PROJ-BI,OPERATING RESULT,17928,Melanie Ayre,R-91275,Group - Optimisation & Financial Risk An,"33,862","87,664","91,255","-3,591",,"260,856","97,843","163,013",,"260,856","97,843","163,013",
PROJ-BI,OPERATING RESULT,24939,Richard Nock,R-11055,On-Board health Monitoring,"4,223","133,675","15,991","117,684",,"166,278","15,991","150,288",,"307,675","261,293","46,382",
PROJ-BI,OPERATING RESULT,24939,Richard Nock,R-90432,Machine Learning Group Operating Cost,"35,653","155,788","143,926","11,862",,"463,572","143,926","319,646",,"587,020","395,735","191,285",
PROJ-BI,OPERATING RESULT,25065,Chen Cai,R-08830,6203000 - Advanced Data Analytics in Tra,"36,762","-137,120","3,532","-140,652",,"-137,120","3,532","-140,652",,"2,799,058","2,796,146","2,912",
PROJ-BI,OPERATING RESULT,25065,Chen Cai,R-09084,Critical water mains failure prediction,"13,376","-6,926","53,074","-60,000",,"32,771","53,074","-20,303",,"102,185","123,017","-20,832",
PROJ-BI,OPERATING RESULT,25065,Chen Cai,R-10940,TfNSW On Demand Transport,"-58,683","20,105","-43,645","63,750",,"25,010","-43,645","68,655",,"79,591","74,686","4,905",
PROJ-BI,OPERATING RESULT,25065,Chen Cai,R-11084,Predictive Analytics for Acer,,,,,,,,,,"68,664","188,664","-120,000",
PROJ-BI,OPERATING RESULT,25065,Chen Cai,R-11104,Corrosion analytics,,,,,,,,,,"105,702","105,702",0,
PROJ-BI,OPERATING RESULT,25065,Chen Cai,R-11685,Industry PhD - Bo Wang,"1,942","12,409","7,704","4,705",,"36,921","7,704","29,217",,"153,240","68,812","84,428",
PROJ-BI,OPERATING RESULT,25065,Chen Cai,R-13223,DVR Prof Yulin Jiang,,"5,000",,"5,000",,"5,000",,"5,000",,"15,000","11,860","3,140",
PROJ-BI,OPERATING RESULT,25065,Chen Cai,R-13514,CRP - Smart Infrastructure and Transport,,,"-63,750","63,750",,,"-374,469","374,469",,"931,234","556,765","374,469","374,496.00"
PROJ-BI,OPERATING RESULT,25065,Chen Cai,R-13665,Pr19-4 NSW-SP: Defect Detection (ML),,"-100,000","-62,500","-37,500",,"-100,000","-62,500","-37,500",,"-150,000","-112,500","-37,500",
PROJ-BI,OPERATING RESULT,25065,Chen Cai,R-13857,Initiative: Transport and Logistics,"8,089","4,705","8,089","-3,384",,"14,000","8,089","5,911",,"14,000","8,089","5,911",
PROJ-BI,OPERATING RESULT,25065,Chen Cai,R-90433,Transport Analytics - Operating Costs,"28,336","125,433","125,555",-122,,"373,247","125,676","247,570",,"604,747","630,141","-25,394",0.00
PROJ-BI,OPERATING RESULT,27432,Tiffany Karitzis,R-90939,STEM Engagement Analytics,,,,,,,,,,1,,1,
PROJ-BI,OPERATING RESULT,#,Not assigned,R-09316,RESEARCH - Biological Data Science,,,,,,,,,,"2,785","2,785",0,
PROJ-BI,OPERATING RESULT,#,Not assigned,R-09657,Social media analytics with Signal,"57,888","63,611","59,402","4,209",,"66,402","59,402","7,000",,"75,243","68,243","7,000",
PROJ-BI,OPERATING RESULT,#,Not assigned,R-09724,Carbon Digiscape FSP (Data61),"7,235","28,709","28,709",0,,"85,429","28,709","56,720",,"400,563","279,191","121,372",
PROJ-BI,OPERATING RESULT,#,Not assigned,R-10149,In-Kind AIM FSP_TB02_WP02: Integration o,,,,,,,,,,"171,136","171,136",0,
PROJ-BI,OPERATING RESULT,#,Not assigned,R-10231,In-Kind AIM FSP_TB10_WP01: Virtual AM,"8,416","33,393","33,393",0,,"99,366","33,393","65,973",,"317,018","251,189","65,829",
PROJ-BI,OPERATING RESULT,#,Not assigned,R-10243,In-Kind AIM FSP_TB04_WP05: Evolving one-,"20,813","82,583","82,583",0,,"245,737","82,583","163,154",,"592,737","429,583","163,154",
PROJ-BI,OPERATING RESULT,#,Not assigned,R-10246,In-kind AIM FSP_TB04_WP20: Designing Jam,"11,841","46,984","46,984",0,,"139,807","46,984","92,824",,"387,086","294,262","92,824",
PROJ-BI,OPERATING RESULT,#,Not assigned,R-10623,Collections Genomics Environomics FSP -,,,,,,,,,,"136,695","136,695",0,
PROJ-BI,OPERATING RESULT,#,Not assigned,R-10642,Soil Inverse Digiscape FSP In-kind Data6,"9,544","37,868","37,868",0,,"112,681","37,868","74,814",,"457,942","383,129","74,814",
PROJ-BI,OPERATING RESULT,#,Not assigned,R-10692,On Farm Expt Digiscape FSP In-kind Data6,"22,434","89,015","89,015",0,,"264,879","89,015","175,863",,"562,655","284,560","278,095",
PROJ-BI,OPERATING RESULT,#,Not assigned,R-10819,Jobs Explorer,,,124,-124,,,124,-124,,1,733,-732,
PROJ-BI,OPERATING RESULT,#,Not assigned,R-11479,Julius Award - Delaney,"1,114","11,762","1,114","10,649",,"35,000","1,114","33,887",,"104,985","42,481","62,504",
PROJ-BI,OPERATING RESULT,#,Not assigned,R-11570,Bioinformatics Environomics FSP (IN KIND,"31,962","126,816","126,816",0,,"377,357","126,816","250,541",,"1,153,229","902,688","250,541",
PROJ-BI,OPERATING RESULT,#,Not assigned,R-11754,Automated parking regulation solution,,,,,,,,,,"36,892","36,892",0,
PROJ-BI,OPERATING RESULT,#,Not assigned,R-11758,Pr 18-07 SPA: Predictive Analytics for R,,,,,,,,,,"-53,766","-95,055","41,289",
PROJ-BI,OPERATING RESULT,#,Not assigned,R-11983,SCF Downscaling Digiscape FSP (Data61),"18,923","74,353","74,537",-184,,"221,249","74,537","146,711",,"659,675","280,938","378,736",
PROJ-BI,OPERATING RESULT,#,Not assigned,R-12177,Analytics on Inactives,,,,,,,,,,"61,924","61,924",-0,
PROJ-BI,OPERATING RESULT,#,Not assigned,R-12296,IN KIND Tara Richman UWA Fellowship,"5,327","21,135","21,135",0,,"62,892","21,135","41,757",,"194,250","87,842","106,409",
PROJ-BI,OPERATING RESULT,#,Not assigned,R-12418,Happy Oyster - Challenge Project,,,,,,,,,,"155,753","-2,012","157,766",
PROJ-BI,OPERATING RESULT,#,Not assigned,R-12496,Consumer trust of food quality - from me,,,,,,,,,,"92,300","14,502","77,798",
PROJ-BI,OPERATING RESULT,#,Not assigned,R-12521,ESA Business as Usual and Enhancements,"5,679","24,549","22,533","2,016",,"73,051","22,533","50,518",,"165,972","115,486","50,487",
PROJ-BI,OPERATING RESULT,#,Not assigned,R-12560,V/Line Performance MVP,,,,,,,,,,"88,078","88,078",0,
PROJ-BI,OPERATING RESULT,#,Not assigned,R-12643,Robust Learning for Decision Making,"20,920","204,454","86,338","118,115",,"496,327","86,338","409,989",,"642,263","173,178","469,084",
PROJ-BI,OPERATING RESULT,#,Not assigned,R-12803,Data-driven timetable evaluation model d,,,,,,,,,,"-39,995","-220,000","180,005",
PROJ-BI,OPERATING RESULT,#,Not assigned,R-12899,Review of NAMP 2018,,,,,,,,,,"20,013","20,013",0,
PROJ-BI,OPERATING RESULT,#,Not assigned,R-13030,Your Data Your Regions 2,"6,830","30,443","27,101","3,342",,"45,541","27,101","18,440",,"109,150","91,560","17,590",
PROJ-BI,OPERATING RESULT,#,Not assigned,R-13036,Monash - IITB Students,,"14,403",,"14,403",,"42,858",,"42,858",,"150,000","64,286","85,714",
PROJ-BI,OPERATING RESULT,#,Not assigned,R-13293,Workflow Optimisation,"8,337","-17,911","8,079","-25,989",,"-24,517","8,079","-32,595",,"-13,341","16,723","-30,064",
PROJ-BI,OPERATING RESULT,#,Not assigned,R-13460,CRP - MLAI FSP Trustworth Learning from,"5,327","21,135","21,135",0,0.00,"62,892","21,135","41,757",0.00,"1,299,061","1,623,823","-324,762",0.00
PROJ-BI,OPERATING RESULT,#,Not assigned,R-13558,Data Strategy,,,"-124,140","124,140",,,"-124,140","124,140",,"-124,140","-124,140",0,
PROJ-BI,OPERATING RESULT,#,Not assigned,R-13598,Towards noninvasive diagnosis of malaria,"5,428","-19,746","-21,889","2,143",,"11,286","-21,889","33,175",,"67,211","-10,891","78,102",
PROJ-BI,OPERATING RESULT,#,Not assigned,R-13666,Risk Modelling Methodologies for NESA,,"-19,730","7,167","-26,897",,"-19,730","7,167","-26,897",,432,"-4,490","4,921",
PROJ-BI,OPERATING RESULT,#,Not assigned,R-13676,Pr19-8 NSW-SP: Timetable robustness (Ext,,,,,,,,,,0,"-180,000","180,000",
PROJ-BI,OPERATING RESULT,#,Not assigned,R-13677,Pr19-9 NSW-SP: Timetable Robustness (Ext,"50,000",,"50,000","-50,000",,,"50,000","-50,000",,0,0,0,
PROJ-BI,OPERATING RESULT,#,Not assigned,R-13854,Spark licensing,"1,314","-9,184","-9,787",603,,-532,"-9,787","9,255",,-532,"-9,787","9,255",
PROJ-BI,OPERATING RESULT,#,Not assigned,R-13879,In-kind AIM FSP_TB02_WP06: Computational,"21,413","60,197","60,197",0,,"228,043","60,197","167,846",,"703,439","60,197","643,242",
PROJ-BI,OPERATING RESULT,#,Not assigned,R-13927,An improved dry eucalypt forest fire spr,"7,961","-35,702","23,900","-59,602",,"94,508","23,900","70,608",,"119,520","23,900","95,620",
PROJ-BI,OPERATING RESULT,#,Not assigned,R-13941,DoEE PDF-Knowledge Graph Processing,"25,046","97,685","94,658","3,027",,"302,320","94,658","207,663",,"302,320","94,658","207,663",
PROJ-BI,OPERATING RESULT,#,Not assigned,R-13968,New comminution device (MSI) stages 1 an,"19,467","50,866","50,866",0,,-328,"50,866","-51,194",,-328,"50,866","-51,194",
PROJ-BI,OPERATING RESULT,#,Not assigned,R-13973,R and Data mining course,52,"-18,552","31,576","-50,128",,"-18,552","31,576","-50,128",,"-18,552","31,576","-50,128",
PROJ-BI,OPERATING RESULT,#,Not assigned,R-14063,Student Agreement - Post Grad,,"15,963","3,500","12,463",,"47,500","3,500","44,000",,"125,500","3,500","122,000",
PROJ-BI,OPERATING RESULT,#,Not assigned,R-14072,Social Watch 2.0 Phase 2,"83,031","214,778","206,377","8,402",,"521,901","206,377","315,525",,"521,901","206,377","315,525",
PROJ-BI,OPERATING RESULT,#,Not assigned,R-14173,CRP- Analytics & Decsion Sciences,"12,564","14,820","12,564","2,256",,"44,099","12,564","31,535",,"89,938","12,564","77,374",
PROJ-BI,OPERATING RESULT,#,Not assigned,R-14261,PBSP Schedule 9 - Data Transition Part B,"2,522","2,859","2,522",338,,"35,760","2,522","33,238",,"35,760","2,522","33,238",
PROJ-BI,OPERATING RESULT,#,Not assigned,R-14309,Study to machine learning methods to tra,,,,,,"40,169",,"40,169",,"40,169",,"40,169",
PROJ-BI,OPERATING RESULT,#,Not assigned,R-14320,Sydney Harbour Bridge R&D Retainer Nov-D,,,,,,"58,395",,"58,395",,"58,395",,"58,395",
PROJ-BI,OPERATING RESULT,#,Not assigned,R-14323,NSSMC Spray Cooling Software Product,,"19,239",,"19,239",,"170,056",,"170,056",,"299,416",,"299,416",
PROJ-BI,OPERATING RESULT,#,Not assigned,R-90148,Analytics Program - Travel and Operating,"14,966",,"21,554","-21,554",,,"21,644","-21,644",,"1,297,894","1,160,054","137,841",0.00
PROJ-BI,OPERATING RESULT,#,Not assigned,R-90149,Analytics Program - Small Consultancies,"19,089","-6,327","25,705","-32,033",,"77,955","25,705","52,250",,"268,331","48,363","219,968",
PROJ-BI,OPERATING RESULT,#,Not assigned,R-90150,Analytics Program R02P05 - IP Costs,,,,,,,,,,1,263,-262,
PROJ-BI,OPERATING RESULT,#,Not assigned,R-90152,"Analytics - Visitor, Stud, Fellow, Inter",,,,,,,,,,"344,004","145,102","198,902",0.00
PROJ-BI,OPERATING RESULT,#,Not assigned,R-90546,CRP- Analytics,"43,274","205,671","152,857","52,813",365.00,"597,583","58,407","539,176","283,718.00","2,934,463","1,535,585","1,398,878","468,638.00"
PROJ-BI,OPERATING RESULT,#,Not assigned,R-90589,DS - CRP,"123,725","634,662","438,225","196,437","39,400.00","1,319,738","73,646","1,246,092","536,991.00","9,272,093","6,461,642","2,810,451","953,230.00"
PROJ-BI,OPERATING RESULT,#,Not assigned,R-90676,Analytics Program - Awards & Grants,,,,,,,,,,"17,500","9,065","8,435",
PROJ-BI,OPERATING RESULT,#,Not assigned,R-91103,Australian Startup Ecosystem,,,"13,000","-13,000",,,"13,000","-13,000",,-92,"12,908","-13,000",
PROJ-BI,OPERATING RESULT,#,Not assigned,R-91362,ANU Teaching,"16,557","16,557","16,557",0,,"33,648","16,557","17,091",,"33,648","16,557","17,091",
EXPENSES.PSBI,TOTAL EXPENSES,1343,Paul Cleary,R-10898,Millsim Maintenance and Support 2017/201,"4,858","19,274","19,274",0,,"57,353","19,274","38,078",,"177,156","139,231","37,925",
EXPENSES.PSBI,TOTAL EXPENSES,1343,Paul Cleary,R-11187,NSSMC Spray Cooling Stage 3B,,"20,947","20,947",0,,"20,947","20,947",0,,"53,325","53,325",-0,
EXPENSES.PSBI,TOTAL EXPENSES,1343,Paul Cleary,R-11440,Millsim extension,,,,,,,,,,"81,160","81,285",-125,
EXPENSES.PSBI,TOTAL EXPENSES,1343,Paul Cleary,R-12652,Seed termination: stage 1,,,,,,,,,,"107,468","107,468",0,
EXPENSES.PSBI,TOTAL EXPENSES,1343,Paul Cleary,R-13387,DEM simulation of a 36’ SAG mill,"1,348","7,304","6,304","1,000",,"7,304","6,304","1,000",,"20,069","19,069","1,000",
EXPENSES.PSBI,TOTAL EXPENSES,1343,Paul Cleary,R-13849,Initiative: CM/AI for Design Optimisatio,,0,,0,,1,,1,,1,,1,
EXPENSES.PSBI,TOTAL EXPENSES,1872,Gary Delaney,R-91283,Group - Computational Modelling,"44,288","123,518","123,516",2,,"367,548","123,516","244,032",,"367,548","123,516","244,032",
EXPENSES.PSBI,TOTAL EXPENSES,3306,Brent Henderson,R-11610,SAGI-North Project,"5,706","21,454","19,147","2,307",,"63,839","19,147","44,693",,"216,474","96,661","119,813",
EXPENSES.PSBI,TOTAL EXPENSES,3306,Brent Henderson,R-12581,Deep Earth Imaging Post-doc Supervision,"5,327","21,723","21,135",588,,"64,642","21,135","43,507",,"233,019","87,855","145,164",
EXPENSES.PSBI,TOTAL EXPENSES,3306,Brent Henderson,R-12646,LineSight ongoing development,,,,,,,,,,"123,216","120,216","3,000",
EXPENSES.PSBI,TOTAL EXPENSES,3306,Brent Henderson,R-12962,Armadillo development + engagement,"2,350","9,325","9,325",0,,"27,749","9,325","18,424",,"57,083","38,659","18,424",
EXPENSES.PSBI,TOTAL EXPENSES,3306,Brent Henderson,R-13504,Improving process efficiency and certain,"12,422","49,416","49,300",117,,"116,111","49,300","66,811",,"119,991","53,079","66,911",
EXPENSES.PSBI,TOTAL EXPENSES,3306,Brent Henderson,R-13720,PFOD-OzCrop,"33,048","132,784","134,137","-1,353",,"395,121","134,137","260,985",,"395,121","134,137","260,985",
EXPENSES.PSBI,TOTAL EXPENSES,3306,Brent Henderson,R-13859,Initiative: Environment and Biological A,,"5,377",,"5,377",,"16,000",,"16,000",,"16,000",,"16,000",
EXPENSES.PSBI,TOTAL EXPENSES,3306,Brent Henderson,R-90434,AgriEnv Informatic Group Operating Cost,"35,693","181,553","132,263","49,290",,"540,243","132,381","407,862",,"640,114","270,657","369,458",0.00
EXPENSES.PSBI,TOTAL EXPENSES,4203,Petra Kuhnert,R-09498,Uncertainty Digiscape In-kind Data61,"5,647","20,924","21,298",-374,,"62,261","21,298","40,964",,"314,679","273,715","40,964",
